id	mittente	destinatario	luogo_mittente
455	Manzoni, Alessandro	Cattaneo, Gaetano	Brusuglio
456	Manzoni, Alessandro	Cioni, Gaetano	Brusuglio
458	Manzoni, Alessandro	Cattaneo, Gaetano	Gessate
459	Manzoni, Alessandro	Delacouture, André Vincent	Milano
460	Manzoni, Alessandro	Beccaria, Giacomo	Milano
461	Manzoni, Alessandro	Jacopetti, Giuseppe; Jacopetti Verri, Fulvia	Milano
462	Manzoni, Alessandro	Mojon Milesi, Bianca	Milano
463	Manzoni, Alessandro	Jacopetti Verri, Fulvia	Milano
464	Manzoni, Alessandro	Beccaria, Giulio	Milano
465	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
466	Manzoni, Alessandro	Cioni, Gaetano	Milano
467	Manzoni, Alessandro	Montgolfier, Adélaïde de	Milano
468	Manzoni, Alessandro	Borsieri, Pietro	Milano
469	Manzoni, Alessandro	Confalonieri, Federico	Milano
470	Manzoni, Alessandro	Cioni, Gaetano	Milano
